Date,INDOCO.NS.Open,INDOCO.NS.High,INDOCO.NS.Low,INDOCO.NS.Close,INDOCO.NS.Volume
08-09-2021,467.3999939,467.5499878,458.7999878,460.5499878,142530
09-09-2021,463,473.25,460.6499939,462.3500061,126488
13-09-2021,464.7999878,469.2999878,454.7000122,456.75,253092
14-09-2021,458.7000122,471.5,458.6499939,464.25,228175
15-09-2021,466,485,465.3500061,472.1499939,352164
16-09-2021,472.2000122,484.8999939,472.2000122,476.75,267152
17-09-2021,477,486,466.0499878,481.3999939,266081
20-09-2021,482,485,469.5,473.0499878,202878
21-09-2021,477.7000122,477.7000122,457.5,462.2999878,147904
22-09-2021,463,473.1000061,455.5499878,465.0499878,167472
23-09-2021,465.8999939,467.3999939,459,460.5,152970
24-09-2021,464.5,464.5,441,447.0499878,242430
27-09-2021,457.2999878,459.4500122,441,444.2999878,433015
28-09-2021,447,448.3999939,436,442,132771
29-09-2021,438,449.8999939,438,444.6499939,147860
30-09-2021,446.6000061,459,445.0499878,449.25,169797
01-10-2021,445,452.4500122,442.1000061,446.8500061,58933
04-10-2021,447,458.3999939,447,451.25,124768
05-10-2021,450,458,444.5499878,448.9500122,113074
06-10-2021,450,453.3500061,433.3500061,443.7000122,221238
07-10-2021,444.2000122,452,442,444.1000061,91586
08-10-2021,446,457.7999878,439.0499878,448.2000122,397410
11-10-2021,452,453.8500061,444,446.4500122,415027
12-10-2021,446,453,445.5,449.7999878,218213
13-10-2021,452.0499878,467.7999878,450.1000061,460.7000122,511060
14-10-2021,463.9500122,471,459.3500061,463.0499878,327320
18-10-2021,480,504.5499878,475.6000061,478.8999939,781890
19-10-2021,479,484,460.5499878,470.5499878,309516
20-10-2021,465.2000122,513.6500244,457,469.5499878,1822121
21-10-2021,473.7999878,495.7000122,473.1000061,475.1499939,562696
22-10-2021,477.5,482.0499878,460.6000061,464.1499939,252744
25-10-2021,464.1499939,466.3500061,443.6000061,460.2999878,250877
26-10-2021,460.5,470,452.5499878,459.8999939,181072
27-10-2021,460.8999939,479,459.3999939,472.3500061,226852
28-10-2021,472,472,440.2000122,447.6499939,211823
29-10-2021,449,469.2999878,440,465.8999939,154841
01-11-2021,470,480,463.8500061,478,154057
02-11-2021,481,498,454,457.25,958261
03-11-2021,457.8999939,466.8999939,445,449.6000061,272878
04-11-2021,452.3500061,459.7000122,452,454.2999878,33071
08-11-2021,461,462.2999878,447.9500122,449.6499939,156624
09-11-2021,451,453.8999939,445,447.3999939,123357
10-11-2021,445.8500061,447.9500122,426.5499878,428.5499878,452038
11-11-2021,430.5,434.4500122,425,428.7000122,106678
12-11-2021,430,431.8999939,407.6000061,420.0499878,335036
15-11-2021,420,424.7999878,410.7000122,421.8999939,149767
16-11-2021,422.8999939,427.3500061,414.1499939,415.6000061,83557
17-11-2021,415.6499939,418.7999878,404,406.25,120494
18-11-2021,406,412,393,401.8500061,148772
22-11-2021,402,405.4500122,390.6499939,394.5,108652
23-11-2021,393.25,407.8500061,388.2999878,400.7999878,89441
24-11-2021,408,430.4500122,403.75,407.8500061,181478
25-11-2021,408,411.5499878,400,409.2000122,79495
26-11-2021,408.8999939,422.75,401.1000061,411.1000061,300529
29-11-2021,413,413,390.0499878,393.9500122,117103
30-11-2021,403,405,384,388.2000122,94893
01-12-2021,393,398.7999878,376.3500061,380.3500061,143267
02-12-2021,381.7999878,402,379,397.4500122,202594
03-12-2021,396,407,394.2000122,403.8500061,125594
06-12-2021,405,432,402.25,418.1000061,467712
07-12-2021,425,431.0499878,407.5,424.2000122,269332
08-12-2021,427.2999878,439,424,429.25,193683
09-12-2021,426.5,437,425.5,436.1499939,84449
10-12-2021,435,443.7999878,428.0499878,430.6499939,102793
13-12-2021,432.1499939,441.6499939,428.5499878,438.4500122,111492
14-12-2021,432.2000122,442.7999878,430.2000122,432.1499939,76318
15-12-2021,434.3500061,447,432.8500061,439.1499939,180896
16-12-2021,440,443.6499939,426,428.0499878,106884
17-12-2021,428.3500061,430,410,412.6000061,119242
20-12-2021,411,411.8999939,390.2999878,399.9500122,119817
21-12-2021,406.2999878,414.5499878,406.1499939,411.1000061,65857
22-12-2021,422,422,411.3500061,418.2000122,58613
23-12-2021,420.2999878,422.0499878,410.75,418.75,58586
24-12-2021,420,425.25,413.4500122,422,61341
27-12-2021,416.2000122,435.4500122,416.2000122,431.6499939,115810
28-12-2021,434.6000061,442.5499878,428.4500122,440.4500122,81531
29-12-2021,441.8500061,444.3500061,430,436.2000122,77427
30-12-2021,433,459.25,432.4500122,444.4500122,219762
31-12-2021,446.7000122,456,437,454.2999878,157936
03-01-2022,454,458.8999939,436.0499878,439.3999939,152221
04-01-2022,435.1499939,451.1000061,435.1499939,442.9500122,102222
05-01-2022,447,451.1000061,440,441.5499878,66523
06-01-2022,435,445.5499878,435,437.6499939,56854
07-01-2022,439,445.1000061,431.3500061,437.8500061,52985
10-01-2022,438.2000122,443.3999939,424.2000122,428.2999878,112037
11-01-2022,429.25,435.8999939,424.2000122,425.7999878,67716
12-01-2022,429.8999939,431.25,425.0499878,426.4500122,48900
13-01-2022,427.9500122,436.9500122,425,430,71367
